,,,,,,,,大學部不得申請；赴該校商學院交換 UG students cannot apply; Exchange to College of Business
SG01,"Singapore
新加坡","Nanyang Technological University
南洋理工大學",13,1,"全校大學部及碩士班學生
U-wide UG & Master students","建議Recommend: iBT90/IELTS6
GEPT-中高級
2nd stage",平均分數Avg. Score: 70+/B,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,不接受交換之program與課程 Restricted programs & courses
SG02,"Singapore
新加坡","Singapore University of Technology and Design (SUTD)
新加坡科技與設計大學",N/A,Spring: 2 students,"全校大學部及碩士班學生
U-wide UG & Master students",,,參考網頁 Link
,,,,,,,,Inbound Exchange Guide
,,,,,,,,Info Sheet
,,,,,,,,"碩士班學生可以申請，但碩士班課程數很少 Master students can be accepted, but the number of master subjects/courses is limited.
建築與可持續發展課程不接受交換生選修 ASD courses are currently not offered to exchange students."
SG03,"Singapore
新加坡","National University of Singapore
新加坡國立大學",11,5 (excluding Business) + 1 for Law,"全校大學部二年級以上學生
U-wide UG yr.2 above students",,"平均分數 Avg. Score: 70+
(no grade <C/65)",參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,可修課程列表 List of Modules
,,,,,,,,"不接受研究生交換 PG students cannot apply (科法院學生除外，但僅可修NUS大學部課程 Except for students in the School of Law, but can only take UG modules)
不得修讀商學院課程 Students cannot take Business modules"
,,,,"Spring 3
(傳科: 保障1 student)","人社院、客家院大學部及研究所學生
UG & PG students of the College of Humanities & Social Sciences and the College of Hakka Studies",,"平均分數
Avg. Score:
70+/B, no C",備註 Remarks
SG04,"Singapore
新加坡","Singapore Management University
新加坡管理大學",511-520,1/sem.,科法所學生 PG students of the Institute of Technology Law,iBT79/IELTS6.5,,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,Brochure
,,,,,,,,"赴該校法學院交換
Exchange to the School of Law"
MY01,"Malaysia
馬來西亞","Universiti Tunku Abdul Rahman (UTAR)
拉曼大學",801-1000,8 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",,,參考網頁 Link
,,,,,,,,Information Sheet
,,,,,,,,"除了中文系、中醫系及中國新聞傳媒系以外，所有課程皆為英語授課 All courses in UTAR are conducted in English, except Chinese Studies, Traditional Chinese Medicine and Journalism in Chinese Media. "
MY02,"Malaysia
馬來西亞","Universiti Kebangsaan Malaysia (UKM)
馬來西亞國立大學",141,2/sem.,"全校大學部學生
U-wide UG students",,平均分數Avg. Score: 70+,參考網頁 Link
,,,,,,,,Fact Sheet
MY03,"Malaysia
馬來西亞","Universiti Teknologi Malaysia (UTM)
馬來西亞理工大學",187,6 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",iBT79/IELTS6,,參考網頁 Link
TH01,"Thailand
泰國","Chulalongkorn University
朱拉隆功大學",208,2/sem.,"生科院大學部三年級以上及研究所學生
UG yr. 3 above and PG students of the College of Biotech.",iBT79/IELTS6,平均分數Avg. Score: 80+,參考網頁 Link
,,,,,,,,Program List
,,,,,,,,Fact Sheet
TH02,"Thailand
泰國","Thammasat University
法政大學",561-570,3 students,"生科院大學部二年級以上及研究所學生
UG yr. 2 above and PG students of the College of Biotech.",iBT60/IELTS5.5,平均分數Avg. Score: 62.5+,參考網頁 Link
,,,,,,,,赴該校理工學院交換 Exchange to the Faculty of Science & Technology
,,,,3 students,"理學院大學部二年級以上及研究所學生
UG yr. 2 above and PG students of the College of Science",,,
,,,,2 sem. slots,"管理學院大學部及研究所學生
UG & PG students of the College of Management",iBT79/IELTS6.5,,參考網頁 Link
TH03,"Thailand
泰國","Kasetsart University
泰國農業大學",801-1000,10 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",iBT61/IELTS5.5,,參考網頁 Link
,,,,3 students,"生科院大學部二年級以上及研究所學生
UG yr. 2 above and PG students of the College of Biotech.",,,Fact Sheet
TH04,"Thailand
泰國","King Mongkut's University of Thonburi (KMUTT)
國王科技大學",801-1000,5 students,"生科院、理學院大學部二年級以上及研究所學生
UG yr. 2 above and PG students of the College of Biotech. & College of Science",,,參考網頁 Link
,,,,,,,,赴該校理學院或生物資源與科技院交換 Exchange to the Faculty of Science or the School of Bioresources and Technology
TH05,"Thailand
泰國","Chiang Mai University
清邁大學",601-650,10 sem. slots,"國際半導體產業學院研究所學生
PG students of the International College of Semiconductor Technology",,,"交換至該校 Exchange to:
Faculty of Engineering"
BN01,"Brunei
汶萊","Universiti Brunei Darussalam (UBD)
汶萊大學",254,2 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG yr.2 above & PG students",iBT79/IELTS6,平均分數Avg. Score: 62.5+,參考網頁 Link
ID01,"Indonesia
印尼","Airlangga University (UNAIR)
艾爾朗加大學",521-530,10/sem.,"理學院大學部二年級以上及碩班學生
UG yr.2 above and Master studnets of the College of Science","iBT70/IELTS5
(no sub-band less than 5)",,參考網頁 Link (UG)
,,,,,,,,參考網頁 Link (PG)
,,,,,,,,赴該校理科學院交換 Exchange to the Faculty of Science & Technology
